key,col1_correct_answer,col2_question_or_hindi,col3_example,col4_hindi_example,col5_variation,type_tag,notes,sort_order
Have practice 9,I have a notebook.,मेरे पास एक नोटबुक है।,I have a notebook.,मेरे पास एक नोटबुक है।,,simple,has/have daily practice,22
Have practice 10,You have a charger.,तुम्हारे पास एक चार्जर है।,You have a charger.,तुम्हारे पास एक चार्जर है।,,simple,has/have daily practice,23
Have practice 11,We have a plan.,हमारे पास एक योजना है।,We have a plan.,हमारे पास एक योजना है।,,simple,has/have daily practice,24
Have practice 12,They have a meeting.,उनके पास एक मीटिंग है।,They have a meeting.,उनके पास एक मीटिंग है।,,simple,has/have daily practice,25
Has practice 13,He has a new bag.,उसके पास एक नया बैग है।,He has a new bag.,उसके पास एक नया बैग है।,,simple,has/have daily practice,26
Has practice 14,She has a red pen.,उसके पास एक लाल पेन है।,She has a red pen.,उसके पास एक लाल पेन है।,,simple,has/have daily practice,27
Has practice 15,My brother has a bicycle.,मेरे भाई के पास एक साइकिल है।,My brother has a bicycle.,मेरे भाई के पास एक साइकिल है।,,simple,has/have daily practice,28
Have practice 16,My friends have books.,मेरे दोस्तों के पास किताबें है।,My friends have books.,मेरे दोस्तों के पास किताबें है।,,simple,has/have daily practice,29
Have practice 17,I have a notebook.,मेरे पास एक नोटबुक है।,I have a notebook.,मेरे पास एक नोटबुक है।,,simple,has/have daily practice,30
Have practice 18,You have a charger.,तुम्हारे पास एक चार्जर है।,You have a charger.,तुम्हारे पास एक चार्जर है।,,simple,has/have daily practice,31
Have practice 19,We have a plan.,हमारे पास एक योजना है।,We have a plan.,हमारे पास एक योजना है।,,simple,has/have daily practice,32
Have practice 20,They have a meeting.,उनके पास एक मीटिंग है।,They have a meeting.,उनके पास एक मीटिंग है।,,simple,has/have daily practice,33
Has practice 21,He has a new bag.,उसके पास एक नया बैग है।,He has a new bag.,उसके पास एक नया बैग है।,,simple,has/have daily practice,34
Has practice 22,She has a red pen.,उसके पास एक लाल पेन है।,She has a red pen.,उसके पास एक लाल पेन है।,,simple,has/have daily practice,35
Has practice 23,My brother has a bicycle.,मेरे भाई के पास एक साइकिल है।,My brother has a bicycle.,मेरे भाई के पास एक साइकिल है।,,simple,has/have daily practice,36
Have practice 24,My friends have books.,मेरे दोस्तों के पास किताबें है।,My friends have books.,मेरे दोस्तों के पास किताबें है।,,simple,has/have daily practice,37
Have practice 25,I have a notebook.,मेरे पास एक नोटबुक है।,I have a notebook.,मेरे पास एक नोटबुक है।,,simple,has/have daily practice,38
Have practice 26,You have a charger.,तुम्हारे पास एक चार्जर है।,You have a charger.,तुम्हारे पास एक चार्जर है।,,simple,has/have daily practice,39
Have practice 27,We have a plan.,हमारे पास एक योजना है।,We have a plan.,हमारे पास एक योजना है।,,simple,has/have daily practice,40
Have practice 28,They have a meeting.,उनके पास एक मीटिंग है।,They have a meeting.,उनके पास एक मीटिंग है।,,simple,has/have daily practice,41
Has practice 29,He has a new bag.,उसके पास एक नया बैग है।,He has a new bag.,उसके पास एक नया बैग है।,,simple,has/have daily practice,42
Has practice 30,She has a red pen.,उसके पास एक लाल पेन है।,She has a red pen.,उसके पास एक लाल पेन है।,,simple,has/have daily practice,43
Has practice 31,My brother has a bicycle.,मेरे भाई के पास एक साइकिल है।,My brother has a bicycle.,मेरे भाई के पास एक साइकिल है।,,simple,has/have daily practice,44
Have practice 32,My friends have books.,मेरे दोस्तों के पास किताबें है।,My friends have books.,मेरे दोस्तों के पास किताबें है।,,simple,has/have daily practice,45
Have practice 33,I have a notebook.,मेरे पास एक नोटबुक है।,I have a notebook.,मेरे पास एक नोटबुक है।,,simple,has/have daily practice,46
Have practice 34,You have a charger.,तुम्हारे पास एक चार्जर है।,You have a charger.,तुम्हारे पास एक चार्जर है।,,simple,has/have daily practice,47
Have practice 35,We have a plan.,हमारे पास एक योजना है।,We have a plan.,हमारे पास एक योजना है।,,simple,has/have daily practice,48
Have practice 36,They have a meeting.,उनके पास एक मीटिंग है।,They have a meeting.,उनके पास एक मीटिंग है।,,simple,has/have daily practice,49
Has practice 37,He has a new bag.,उसके पास एक नया बैग है।,He has a new bag.,उसके पास एक नया बैग है।,,simple,has/have daily practice,50
