Hindi Sentence,English Sentence,Roman Hindi,Topic/Tense,Situation,Level,Accepted Answers,Explanation
क्या हम खुश हैं?,Are we happy?,kya hum khush हैं,Use of is/am/are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of is/am/are.
क्या वे देर से हैं?,Are they late?,kya ve der se हैं,Use of is/am/are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of is/am/are.
क्या मेरा भाई ऑनलाइन है?,Is My brother online?,kya mera bhai online है,Use of is/am/are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of is/am/are.
क्या मेरी बहन अभी उपलब्ध है?,Is My sister available now?,kya meri bahan abhi uplabdh है,Use of is/am/are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of is/am/are.
क्या शिक्षक आत्मविश्वासी है?,Is The teacher confident?,kya shikshak aatmavishwasi है,Use of is/am/are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of is/am/are.
क्या छात्र शाम को फ्री है?,Is The student free in the evening?,kya chhatra shaam ko free है,Use of is/am/are,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of is/am/are.
मैं कहाँ हूँ?,Where am i?,main kahan हूँ,Use of is/am/are,Question Word,Beginner,,Practice Question Word sentences for Use of is/am/are.
आप कहाँ हैं?,Where are you?,aap kahan हैं,Use of is/am/are,Question Word,Beginner,,Practice Question Word sentences for Use of is/am/are.
वह कहाँ है?,Where is he?,vah kahan है,Use of is/am/are,Question Word,Beginner,,Practice Question Word sentences for Use of is/am/are.
वह कहाँ है?,Where is she?,vah kahan है,Use of is/am/are,Question Word,Beginner,,Practice Question Word sentences for Use of is/am/are.
हम कहाँ हैं?,Where are we?,hum kahan हैं,Use of is/am/are,Question Word,Beginner,,Practice Question Word sentences for Use of is/am/are.
वे कहाँ हैं?,Where are they?,ve kahan हैं,Use of is/am/are,Question Word,Beginner,,Practice Question Word sentences for Use of is/am/are.
मेरा भाई कहाँ है?,Where is My brother?,mera bhai kahan है,Use of is/am/are,Question Word,Beginner,,Practice Question Word sentences for Use of is/am/are.
मेरी बहन कहाँ है?,Where is My sister?,meri bahan kahan है,Use of is/am/are,Question Word,Beginner,,Practice Question Word sentences for Use of is/am/are.
शिक्षक कहाँ है?,Where is The teacher?,shikshak kahan है,Use of is/am/are,Question Word,Beginner,,Practice Question Word sentences for Use of is/am/are.
छात्र कहाँ है?,Where is The student?,chhatra kahan है,Use of is/am/are,Question Word,Beginner,,Practice Question Word sentences for Use of is/am/are.
मैं क्यों घर पर नहीं हूँ?,Why am i not at home?,main kyon ghar par nahi हूँ,Use of is/am/are,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of is/am/are.
आप क्यों तैयार नहीं हैं?,Why are you not ready?,aap kyon taiyar nahi हैं,Use of is/am/are,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of is/am/are.
वह क्यों आज व्यस्त नहीं है?,Why is he not busy today?,vah kyon aaj vyast nahi है,Use of is/am/are,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of is/am/are.
वह क्यों कक्षा में नहीं है?,Why is she not in the class?,vah kyon kaksha mein nahi है,Use of is/am/are,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of is/am/are.
हम क्यों खुश नहीं हैं?,Why are we not happy?,hum kyon khush nahi हैं,Use of is/am/are,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of is/am/are.
वे क्यों देर से नहीं हैं?,Why are they not late?,ve kyon der se nahi हैं,Use of is/am/are,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of is/am/are.
मेरा भाई क्यों ऑनलाइन नहीं है?,Why is My brother not online?,mera bhai kyon online nahi है,Use of is/am/are,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of is/am/are.
मेरी बहन क्यों अभी उपलब्ध नहीं है?,Why is My sister not available now?,meri bahan kyon abhi uplabdh nahi है,Use of is/am/are,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of is/am/are.
शिक्षक क्यों आत्मविश्वासी नहीं है?,Why is The teacher not confident?,shikshak kyon aatmavishwasi nahi है,Use of is/am/are,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of is/am/are.
छात्र क्यों शाम को फ्री नहीं है?,Why is The student not free in the evening?,chhatra kyon shaam ko free nahi है,Use of is/am/are,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of is/am/are.
मैं घर पर था/थी।,I was at home.,main ghar par था/थी,Use of was/were,Simple,Beginner,,Practice Simple sentences for Use of was/were.
आप तैयार थे।,You were ready.,aap taiyar थे,Use of was/were,Simple,Beginner,,Practice Simple sentences for Use of was/were.
वह आज व्यस्त था।,He was busy today.,vah aaj vyast था,Use of was/were,Simple,Beginner,,Practice Simple sentences for Use of was/were.
वह कक्षा में थी।,She was in the class.,vah kaksha mein थी,Use of was/were,Simple,Beginner,,Practice Simple sentences for Use of was/were.
हम खुश थे।,We were happy.,hum khush थे,Use of was/were,Simple,Beginner,,Practice Simple sentences for Use of was/were.
वे देर से थे।,They were late.,ve der se थे,Use of was/were,Simple,Beginner,,Practice Simple sentences for Use of was/were.
मेरा भाई ऑनलाइन था।,My brother was online.,mera bhai online था,Use of was/were,Simple,Beginner,,Practice Simple sentences for Use of was/were.
मेरी बहन अभी उपलब्ध थी।,My sister was available now.,meri bahan abhi uplabdh थी,Use of was/were,Simple,Beginner,,Practice Simple sentences for Use of was/were.
शिक्षक आत्मविश्वासी था/थी।,The teacher was confident.,shikshak aatmavishwasi था/थी,Use of was/were,Simple,Beginner,,Practice Simple sentences for Use of was/were.
छात्र शाम को फ्री था/थी।,The student was free in the evening.,chhatra shaam ko free था/थी,Use of was/were,Simple,Beginner,,Practice Simple sentences for Use of was/were.
मैं घर पर नहीं था/थी।,I was not at home.,main ghar par nahi था/थी,Use of was/were,Negative,Beginner,,Practice Negative sentences for Use of was/were.
आप तैयार नहीं थे।,You were not ready.,aap taiyar nahi थे,Use of was/were,Negative,Beginner,,Practice Negative sentences for Use of was/were.
वह आज व्यस्त नहीं था।,He was not busy today.,vah aaj vyast nahi था,Use of was/were,Negative,Beginner,,Practice Negative sentences for Use of was/were.
वह कक्षा में नहीं थी।,She was not in the class.,vah kaksha mein nahi थी,Use of was/were,Negative,Beginner,,Practice Negative sentences for Use of was/were.
हम खुश नहीं थे।,We were not happy.,hum khush nahi थे,Use of was/were,Negative,Beginner,,Practice Negative sentences for Use of was/were.
वे देर से नहीं थे।,They were not late.,ve der se nahi थे,Use of was/were,Negative,Beginner,,Practice Negative sentences for Use of was/were.
मेरा भाई ऑनलाइन नहीं था।,My brother was not online.,mera bhai online nahi था,Use of was/were,Negative,Beginner,,Practice Negative sentences for Use of was/were.
मेरी बहन अभी उपलब्ध नहीं थी।,My sister was not available now.,meri bahan abhi uplabdh nahi थी,Use of was/were,Negative,Beginner,,Practice Negative sentences for Use of was/were.
शिक्षक आत्मविश्वासी नहीं था/थी।,The teacher was not confident.,shikshak aatmavishwasi nahi था/थी,Use of was/were,Negative,Beginner,,Practice Negative sentences for Use of was/were.
छात्र शाम को फ्री नहीं था/थी।,The student was not free in the evening.,chhatra shaam ko free nahi था/थी,Use of was/were,Negative,Beginner,,Practice Negative sentences for Use of was/were.
क्या मैं घर पर था/थी?,Was i at home?,kya main ghar par था/थी,Use of was/were,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of was/were.
क्या आप तैयार थे?,Were you ready?,kya aap taiyar थे,Use of was/were,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of was/were.
क्या वह आज व्यस्त था?,Was he busy today?,kya vah aaj vyast था,Use of was/were,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of was/were.
क्या वह कक्षा में थी?,Was she in the class?,kya vah kaksha mein थी,Use of was/were,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of was/were.
क्या हम खुश थे?,Were we happy?,kya hum khush थे,Use of was/were,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of was/were.
क्या वे देर से थे?,Were they late?,kya ve der se थे,Use of was/were,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of was/were.
क्या मेरा भाई ऑनलाइन था?,Was My brother online?,kya mera bhai online था,Use of was/were,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of was/were.
क्या मेरी बहन अभी उपलब्ध थी?,Was My sister available now?,kya meri bahan abhi uplabdh थी,Use of was/were,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of was/were.
क्या शिक्षक आत्मविश्वासी था/थी?,Was The teacher confident?,kya shikshak aatmavishwasi था/थी,Use of was/were,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of was/were.
क्या छात्र शाम को फ्री था/थी?,Was The student free in the evening?,kya chhatra shaam ko free था/थी,Use of was/were,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of was/were.
मैं कहाँ था/थी?,Where was i?,main kahan था/थी,Use of was/were,Question Word,Beginner,,Practice Question Word sentences for Use of was/were.
आप कहाँ थे?,Where were you?,aap kahan थे,Use of was/were,Question Word,Beginner,,Practice Question Word sentences for Use of was/were.
वह कहाँ था?,Where was he?,vah kahan था,Use of was/were,Question Word,Beginner,,Practice Question Word sentences for Use of was/were.
वह कहाँ थी?,Where was she?,vah kahan थी,Use of was/were,Question Word,Beginner,,Practice Question Word sentences for Use of was/were.
हम कहाँ थे?,Where were we?,hum kahan थे,Use of was/were,Question Word,Beginner,,Practice Question Word sentences for Use of was/were.
वे कहाँ थे?,Where were they?,ve kahan थे,Use of was/were,Question Word,Beginner,,Practice Question Word sentences for Use of was/were.
मेरा भाई कहाँ था?,Where was My brother?,mera bhai kahan था,Use of was/were,Question Word,Beginner,,Practice Question Word sentences for Use of was/were.
मेरी बहन कहाँ थी?,Where was My sister?,meri bahan kahan थी,Use of was/were,Question Word,Beginner,,Practice Question Word sentences for Use of was/were.
शिक्षक कहाँ था/थी?,Where was The teacher?,shikshak kahan था/थी,Use of was/were,Question Word,Beginner,,Practice Question Word sentences for Use of was/were.
छात्र कहाँ था/थी?,Where was The student?,chhatra kahan था/थी,Use of was/were,Question Word,Beginner,,Practice Question Word sentences for Use of was/were.
मैं क्यों घर पर नहीं था/थी?,Why was i not at home?,main kyon ghar par nahi था/थी,Use of was/were,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of was/were.
आप क्यों तैयार नहीं थे?,Why were you not ready?,aap kyon taiyar nahi थे,Use of was/were,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of was/were.
वह क्यों आज व्यस्त नहीं था?,Why was he not busy today?,vah kyon aaj vyast nahi था,Use of was/were,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of was/were.
वह क्यों कक्षा में नहीं थी?,Why was she not in the class?,vah kyon kaksha mein nahi थी,Use of was/were,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of was/were.
हम क्यों खुश नहीं थे?,Why were we not happy?,hum kyon khush nahi थे,Use of was/were,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of was/were.
वे क्यों देर से नहीं थे?,Why were they not late?,ve kyon der se nahi थे,Use of was/were,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of was/were.
मेरा भाई क्यों ऑनलाइन नहीं था?,Why was My brother not online?,mera bhai kyon online nahi था,Use of was/were,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of was/were.
मेरी बहन क्यों अभी उपलब्ध नहीं थी?,Why was My sister not available now?,meri bahan kyon abhi uplabdh nahi थी,Use of was/were,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of was/were.
शिक्षक क्यों आत्मविश्वासी नहीं था/थी?,Why was The teacher not confident?,shikshak kyon aatmavishwasi nahi था/थी,Use of was/were,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of was/were.
छात्र क्यों शाम को फ्री नहीं था/थी?,Why was The student not free in the evening?,chhatra kyon shaam ko free nahi था/थी,Use of was/were,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of was/were.
मैं के पास दिल्ली का अनुभव है।,I have experience of Delhi.,main ke paas Delhi ka anubhav hai,Use of has/have,Simple,Beginner,,Practice Simple sentences for Use of has/have.
आप के पास स्कूल का अनुभव है।,You have experience of school.,aap ke paas school ka anubhav hai,Use of has/have,Simple,Beginner,,Practice Simple sentences for Use of has/have.
वह के पास ऑफिस का अनुभव है।,He has experience of office.,vah ke paas office ka anubhav hai,Use of has/have,Simple,Beginner,,Practice Simple sentences for Use of has/have.
वह के पास बाजार का अनुभव है।,She has experience of market.,vah ke paas bazaar ka anubhav hai,Use of has/have,Simple,Beginner,,Practice Simple sentences for Use of has/have.
हम के पास क्लास का अनुभव है।,We have experience of class.,hum ke paas class ka anubhav hai,Use of has/have,Simple,Beginner,,Practice Simple sentences for Use of has/have.
वे के पास घर का अनुभव है।,They have experience of home.,ve ke paas ghar ka anubhav hai,Use of has/have,Simple,Beginner,,Practice Simple sentences for Use of has/have.
मेरा भाई के पास इंटरव्यू का अनुभव है।,My brother has experience of interview.,mera bhai ke paas interview ka anubhav hai,Use of has/have,Simple,Beginner,,Practice Simple sentences for Use of has/have.
मेरी बहन के पास मीटिंग का अनुभव है।,My sister has experience of meeting.,meri bahan ke paas meeting ka anubhav hai,Use of has/have,Simple,Beginner,,Practice Simple sentences for Use of has/have.
शिक्षक के पास दुकान का अनुभव है।,The teacher has experience of shop.,shikshak ke paas dukan ka anubhav hai,Use of has/have,Simple,Beginner,,Practice Simple sentences for Use of has/have.
छात्र के पास स्टेशन का अनुभव है।,The student has experience of station.,chhatra ke paas station ka anubhav hai,Use of has/have,Simple,Beginner,,Practice Simple sentences for Use of has/have.
मैं के पास दिल्ली का अनुभव नहीं है।,I do not have experience of Delhi.,main ke paas Delhi ka anubhav nahi hai,Use of has/have,Negative,Beginner,,Practice Negative sentences for Use of has/have.
आप के पास स्कूल का अनुभव नहीं है।,You do not have experience of school.,aap ke paas school ka anubhav nahi hai,Use of has/have,Negative,Beginner,,Practice Negative sentences for Use of has/have.
वह के पास ऑफिस का अनुभव नहीं है।,He does not have experience of office.,vah ke paas office ka anubhav nahi hai,Use of has/have,Negative,Beginner,,Practice Negative sentences for Use of has/have.
वह के पास बाजार का अनुभव नहीं है।,She does not have experience of market.,vah ke paas bazaar ka anubhav nahi hai,Use of has/have,Negative,Beginner,,Practice Negative sentences for Use of has/have.
हम के पास क्लास का अनुभव नहीं है।,We do not have experience of class.,hum ke paas class ka anubhav nahi hai,Use of has/have,Negative,Beginner,,Practice Negative sentences for Use of has/have.
वे के पास घर का अनुभव नहीं है।,They do not have experience of home.,ve ke paas ghar ka anubhav nahi hai,Use of has/have,Negative,Beginner,,Practice Negative sentences for Use of has/have.
मेरा भाई के पास इंटरव्यू का अनुभव नहीं है।,My brother does not have experience of interview.,mera bhai ke paas interview ka anubhav nahi hai,Use of has/have,Negative,Beginner,,Practice Negative sentences for Use of has/have.
मेरी बहन के पास मीटिंग का अनुभव नहीं है।,My sister does not have experience of meeting.,meri bahan ke paas meeting ka anubhav nahi hai,Use of has/have,Negative,Beginner,,Practice Negative sentences for Use of has/have.
शिक्षक के पास दुकान का अनुभव नहीं है।,The teacher does not have experience of shop.,shikshak ke paas dukan ka anubhav nahi hai,Use of has/have,Negative,Beginner,,Practice Negative sentences for Use of has/have.
छात्र के पास स्टेशन का अनुभव नहीं है।,The student does not have experience of station.,chhatra ke paas station ka anubhav nahi hai,Use of has/have,Negative,Beginner,,Practice Negative sentences for Use of has/have.
क्या मैं के पास दिल्ली का अनुभव है?,Do i have experience of Delhi?,kya main ke paas Delhi ka anubhav hai,Use of has/have,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of has/have.
क्या आप के पास स्कूल का अनुभव है?,Do you have experience of school?,kya aap ke paas school ka anubhav hai,Use of has/have,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of has/have.
क्या वह के पास ऑफिस का अनुभव है?,Does he have experience of office?,kya vah ke paas office ka anubhav hai,Use of has/have,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of has/have.
क्या वह के पास बाजार का अनुभव है?,Does she have experience of market?,kya vah ke paas bazaar ka anubhav hai,Use of has/have,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of has/have.
क्या हम के पास क्लास का अनुभव है?,Do we have experience of class?,kya hum ke paas class ka anubhav hai,Use of has/have,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of has/have.
क्या वे के पास घर का अनुभव है?,Do they have experience of home?,kya ve ke paas ghar ka anubhav hai,Use of has/have,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of has/have.
क्या मेरा भाई के पास इंटरव्यू का अनुभव है?,Does My brother have experience of interview?,kya mera bhai ke paas interview ka anubhav hai,Use of has/have,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of has/have.
क्या मेरी बहन के पास मीटिंग का अनुभव है?,Does My sister have experience of meeting?,kya meri bahan ke paas meeting ka anubhav hai,Use of has/have,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of has/have.
क्या शिक्षक के पास दुकान का अनुभव है?,Does The teacher have experience of shop?,kya shikshak ke paas dukan ka anubhav hai,Use of has/have,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of has/have.
क्या छात्र के पास स्टेशन का अनुभव है?,Does The student have experience of station?,kya chhatra ke paas station ka anubhav hai,Use of has/have,Yes/No Question,Beginner,,Practice Yes/No Question sentences for Use of has/have.
मैं के पास किस चीज़ का अनुभव है?,What experience does I have?,main ke paas kis cheez ka anubhav hai,Use of has/have,Question Word,Beginner,,Practice Question Word sentences for Use of has/have.
आप के पास किस चीज़ का अनुभव है?,What experience does You have?,aap ke paas kis cheez ka anubhav hai,Use of has/have,Question Word,Beginner,,Practice Question Word sentences for Use of has/have.
वह के पास किस चीज़ का अनुभव है?,What experience does he have?,vah ke paas kis cheez ka anubhav hai,Use of has/have,Question Word,Beginner,,Practice Question Word sentences for Use of has/have.
वह के पास किस चीज़ का अनुभव है?,What experience does she have?,vah ke paas kis cheez ka anubhav hai,Use of has/have,Question Word,Beginner,,Practice Question Word sentences for Use of has/have.
हम के पास किस चीज़ का अनुभव है?,What experience does We have?,hum ke paas kis cheez ka anubhav hai,Use of has/have,Question Word,Beginner,,Practice Question Word sentences for Use of has/have.
वे के पास किस चीज़ का अनुभव है?,What experience does They have?,ve ke paas kis cheez ka anubhav hai,Use of has/have,Question Word,Beginner,,Practice Question Word sentences for Use of has/have.
मेरा भाई के पास किस चीज़ का अनुभव है?,What experience does My brother have?,mera bhai ke paas kis cheez ka anubhav hai,Use of has/have,Question Word,Beginner,,Practice Question Word sentences for Use of has/have.
मेरी बहन के पास किस चीज़ का अनुभव है?,What experience does My sister have?,meri bahan ke paas kis cheez ka anubhav hai,Use of has/have,Question Word,Beginner,,Practice Question Word sentences for Use of has/have.
शिक्षक के पास किस चीज़ का अनुभव है?,What experience does The teacher have?,shikshak ke paas kis cheez ka anubhav hai,Use of has/have,Question Word,Beginner,,Practice Question Word sentences for Use of has/have.
छात्र के पास किस चीज़ का अनुभव है?,What experience does The student have?,chhatra ke paas kis cheez ka anubhav hai,Use of has/have,Question Word,Beginner,,Practice Question Word sentences for Use of has/have.
मैं के पास दिल्ली का अनुभव क्यों नहीं है?,Why do i not have experience of Delhi?,main ke paas Delhi ka anubhav kyon nahi hai,Use of has/have,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of has/have.
आप के पास स्कूल का अनुभव क्यों नहीं है?,Why do you not have experience of school?,aap ke paas school ka anubhav kyon nahi hai,Use of has/have,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of has/have.
वह के पास ऑफिस का अनुभव क्यों नहीं है?,Why does he not have experience of office?,vah ke paas office ka anubhav kyon nahi hai,Use of has/have,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of has/have.
वह के पास बाजार का अनुभव क्यों नहीं है?,Why does she not have experience of market?,vah ke paas bazaar ka anubhav kyon nahi hai,Use of has/have,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of has/have.
हम के पास क्लास का अनुभव क्यों नहीं है?,Why do we not have experience of class?,hum ke paas class ka anubhav kyon nahi hai,Use of has/have,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of has/have.
वे के पास घर का अनुभव क्यों नहीं है?,Why do they not have experience of home?,ve ke paas ghar ka anubhav kyon nahi hai,Use of has/have,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of has/have.
मेरा भाई के पास इंटरव्यू का अनुभव क्यों नहीं है?,Why does My brother not have experience of interview?,mera bhai ke paas interview ka anubhav kyon nahi hai,Use of has/have,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of has/have.
मेरी बहन के पास मीटिंग का अनुभव क्यों नहीं है?,Why does My sister not have experience of meeting?,meri bahan ke paas meeting ka anubhav kyon nahi hai,Use of has/have,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of has/have.
शिक्षक के पास दुकान का अनुभव क्यों नहीं है?,Why does The teacher not have experience of shop?,shikshak ke paas dukan ka anubhav kyon nahi hai,Use of has/have,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of has/have.
छात्र के पास स्टेशन का अनुभव क्यों नहीं है?,Why does The student not have experience of station?,chhatra ke paas station ka anubhav kyon nahi hai,Use of has/have,Double Interrogative,Beginner,,Practice Double Interrogative sentences for Use of has/have.
मैं के पास दिल्ली का अनुभव है।,I had experience of Delhi.,main ke paas Delhi ka anubhav hai,Use of had,Simple,Beginner,,Practice Simple sentences for Use of had.
आप के पास स्कूल का अनुभव है।,You had experience of school.,aap ke paas school ka anubhav hai,Use of had,Simple,Beginner,,Practice Simple sentences for Use of had.
वह के पास ऑफिस का अनुभव है।,He had experience of office.,vah ke paas office ka anubhav hai,Use of had,Simple,Beginner,,Practice Simple sentences for Use of had.
वह के पास बाजार का अनुभव है।,She had experience of market.,vah ke paas bazaar ka anubhav hai,Use of had,Simple,Beginner,,Practice Simple sentences for Use of had.
हम के पास क्लास का अनुभव है।,We had experience of class.,hum ke paas class ka anubhav hai,Use of had,Simple,Beginner,,Practice Simple sentences for Use of had.
वे के पास घर का अनुभव है।,They had experience of home.,ve ke paas ghar ka anubhav hai,Use of had,Simple,Beginner,,Practice Simple sentences for Use of had.
मेरा भाई के पास इंटरव्यू का अनुभव है।,My brother had experience of interview.,mera bhai ke paas interview ka anubhav hai,Use of had,Simple,Beginner,,Practice Simple sentences for Use of had.
मेरी बहन के पास मीटिंग का अनुभव है।,My sister had experience of meeting.,meri bahan ke paas meeting ka anubhav hai,Use of had,Simple,Beginner,,Practice Simple sentences for Use of had.
शिक्षक के पास दुकान का अनुभव है।,The teacher had experience of shop.,shikshak ke paas dukan ka anubhav hai,Use of had,Simple,Beginner,,Practice Simple sentences for Use of had.
छात्र के पास स्टेशन का अनुभव है।,The student had experience of station.,chhatra ke paas station ka anubhav hai,Use of had,Simple,Beginner,,Practice Simple sentences for Use of had.
मैं के पास दिल्ली का अनुभव नहीं है।,I did not have experience of Delhi.,main ke paas Delhi ka anubhav nahi hai,Use of had,Negative,Beginner,,Practice Negative sentences for Use of had.
आप के पास स्कूल का अनुभव नहीं है।,You did not have experience of school.,aap ke paas school ka anubhav nahi hai,Use of had,Negative,Beginner,,Practice Negative sentences for Use of had.
वह के पास ऑफिस का अनुभव नहीं है।,He did not have experience of office.,vah ke paas office ka anubhav nahi hai,Use of had,Negative,Beginner,,Practice Negative sentences for Use of had.
वह के पास बाजार का अनुभव नहीं है।,She did not have experience of market.,vah ke paas bazaar ka anubhav nahi hai,Use of had,Negative,Beginner,,Practice Negative sentences for Use of had.
हम के पास क्लास का अनुभव नहीं है।,We did not have experience of class.,hum ke paas class ka anubhav nahi hai,Use of had,Negative,Beginner,,Practice Negative sentences for Use of had.
वे के पास घर का अनुभव नहीं है।,They did not have experience of home.,ve ke paas ghar ka anubhav nahi hai,Use of had,Negative,Beginner,,Practice Negative sentences for Use of had.
