key,col1_correct_answer,col2_question_or_hindi,col3_example,col4_hindi_example,col5_variation,type_tag,notes,sort_order
Can practice 18,You can do this work.,तुम यह काम कर सकते हो।,You can do this work.,तुम यह काम कर सकते हो।,,simple,can/could daily practice,28
Can practice 19,We can start now.,हम अब शुरू कर सकते हैं।,We can start now.,हम अब शुरू कर सकते हैं।,,simple,can/could daily practice,29
Can practice 20,They can come tomorrow.,वे कल आ सकते हैं।,They can come tomorrow.,वे कल आ सकते हैं।,,simple,can/could daily practice,30
Can practice 21,He can speak well.,वह अच्छा बोल सकता है।,He can speak well.,वह अच्छा बोल सकता है।,,simple,can/could daily practice,31
Can practice 22,She can teach grammar.,ग्रामर पढ़ा सकती है।,She can teach grammar.,ग्रामर पढ़ा सकती है।,,simple,can/could daily practice,32
Could practice 23,I could read fast earlier.,पहले तेज पढ़ सकता था।,I could read fast earlier.,पहले तेज पढ़ सकता था।,,simple,can/could daily practice,33
Could practice 24,We could finish it yesterday.,कल इसे खत्म कर सकते थे।,We could finish it yesterday.,कल इसे खत्म कर सकते थे।,,simple,can/could daily practice,34
Can practice 25,I can learn English.,मैं अंग्रेजी सीख सकता हूँ।,I can learn English.,मैं अंग्रेजी सीख सकता हूँ।,,simple,can/could daily practice,35
Can practice 26,You can do this work.,तुम यह काम कर सकते हो।,You can do this work.,तुम यह काम कर सकते हो।,,simple,can/could daily practice,36
Can practice 27,We can start now.,हम अब शुरू कर सकते हैं।,We can start now.,हम अब शुरू कर सकते हैं।,,simple,can/could daily practice,37
Can practice 28,They can come tomorrow.,वे कल आ सकते हैं।,They can come tomorrow.,वे कल आ सकते हैं।,,simple,can/could daily practice,38
Can practice 29,He can speak well.,वह अच्छा बोल सकता है।,He can speak well.,वह अच्छा बोल सकता है।,,simple,can/could daily practice,39
Can practice 30,She can teach grammar.,ग्रामर पढ़ा सकती है।,She can teach grammar.,ग्रामर पढ़ा सकती है।,,simple,can/could daily practice,40
Could practice 31,I could read fast earlier.,पहले तेज पढ़ सकता था।,I could read fast earlier.,पहले तेज पढ़ सकता था।,,simple,can/could daily practice,41
Could practice 32,We could finish it yesterday.,कल इसे खत्म कर सकते थे।,We could finish it yesterday.,कल इसे खत्म कर सकते थे।,,simple,can/could daily practice,42
Can practice 33,I can learn English.,मैं अंग्रेजी सीख सकता हूँ।,I can learn English.,मैं अंग्रेजी सीख सकता हूँ।,,simple,can/could daily practice,43
Can practice 34,You can do this work.,तुम यह काम कर सकते हो।,You can do this work.,तुम यह काम कर सकते हो।,,simple,can/could daily practice,44
Can practice 35,We can start now.,हम अब शुरू कर सकते हैं।,We can start now.,हम अब शुरू कर सकते हैं।,,simple,can/could daily practice,45
Can practice 36,They can come tomorrow.,वे कल आ सकते हैं।,They can come tomorrow.,वे कल आ सकते हैं।,,simple,can/could daily practice,46
Can practice 37,He can speak well.,वह अच्छा बोल सकता है।,He can speak well.,वह अच्छा बोल सकता है।,,simple,can/could daily practice,47
Can practice 38,She can teach grammar.,ग्रामर पढ़ा सकती है।,She can teach grammar.,ग्रामर पढ़ा सकती है।,,simple,can/could daily practice,48
Could practice 39,I could read fast earlier.,पहले तेज पढ़ सकता था।,I could read fast earlier.,पहले तेज पढ़ सकता था।,,simple,can/could daily practice,49
Could practice 40,We could finish it yesterday.,कल इसे खत्म कर सकते थे।,We could finish it yesterday.,कल इसे खत्म कर सकते थे।,,simple,can/could daily practice,50
